"dyad","partner","id","phase","time","timephase","timephase.r","ibi.basec","b.ibi.basec"
666,"B","666.B","goal",48,18,17,-50.1844107666667,-11.8688628
666,"B","666.B","goal",49,19,18,-110.384410766667,42.4278402000001
666,"B","666.B","goal",50,20,19,-20.6510777666666,16.2739942000001
666,"B","666.B","goal",51,21,20,-199.584410766667,4.48828020000008
666,"B","666.B","goal",52,22,21,-188.166228766667,45.5047632000001
666,"B","666.B","goal",53,23,22,-17.7844107666666,28.9663022000001
666,"B","666.B","goal",54,24,23,56.0155892333333,14.3509172
666,"B","666.B","goal",55,25,24,-60.9844107666667,-12.0117197999999
666,"B","666.B","goal",56,26,25,-0.317743766666695,-5.22600579999994
666,"B","666.B","goal",57,27,26,24.2378112333333,2.88937920000001
666,"B","666.B","goal",58,28,27,15.9044782333333,55.5816862
666,"B","666.B","goal",59,29,28,-18.2844107666666,39.5816862
666,"B","666.B","goal",60,30,29,21.7933672333334,35.3509172
666,"B","666.B","femalereceive",61,1,0,-124.095521766667,-33.5260057999999
666,"B","666.B","femalereceive",62,2,1,-3.87329976666661,-5.72600579999994
666,"B","666.B","femalereceive",63,3,2,92.2655892333333,40.6906612
666,"B","666.B","femalereceive",64,4,3,22.7933672333334,72.1906612
666,"B","666.B","femalereceive",65,5,4,-24.6510777666666,69.8124562
666,"B","666.B","femalereceive",66,6,5,-8.98441076666666,72.1906612
666,"B","666.B","femalereceive",67,7,6,67.4600332333333,139.0921762
666,"B","666.B","femalereceive",68,8,7,57.7933672333334,223.3739942
666,"B","666.B","femalereceive",69,9,8,54.7933672333334,137.5239942
666,"B","666.B","femalereceive",70,10,9,-20.4844107666667,71.8573272000001
666,"B","666.B","femalereceive",71,11,10,47.7655892333333,124.0012672
666,"B","666.B","femalereceive",72,12,11,18.3489222333334,118.4406612
666,"B","666.B","femalereceive",73,13,12,-47.9844107666667,40.0432252000001
666,"B","666.B","femalereceive",74,14,13,-14.5844107666667,109.3649032
666,"B","666.B","femalereceive",75,15,14,-74.1844107666667,87.7739942000001
666,"B","666.B","femalereceive",76,16,15,27.5711452333334,84.8573272000001
666,"B","666.B","femalereceive",77,17,16,41.5155892333333,63.4278402000001
666,"B","666.B","femalereceive",78,18,17,30.2378112333333,-6.72600579999994
666,"B","666.B","femalereceive",79,19,18,-2.48441076666666,-16.6545768
666,"B","666.B","femalereceive",80,20,19,-90.4844107666667,7.48828020000008
666,"B","666.B","femalereceive",81,21,20,69.0155892333333,-29.4402918
666,"B","666.B","femalereceive",82,22,21,17.4600332333333,-31.2974347999999
666,"B","666.B","femalereceive",83,23,22,25.6822562333333,-17.9260058
666,"B","666.B","femalereceive",84,24,23,-8.65107776666662,-24.2974347999999
